entity_id,entity_name,segment,owner
ACC001,Account 1,Watch,Revenue
ACC002,Account 2,Core,Operations
ACC003,Account 3,Growth,Revenue
ACC004,Account 4,Core,Revenue
ACC005,Account 5,Growth,Customer
ACC006,Account 6,Growth,Customer
ACC007,Account 7,Watch,Operations
ACC008,Account 8,Watch,Product
ACC009,Account 9,Strategic,Product
ACC010,Account 10,Growth,Operations
ACC011,Account 11,Strategic,Product
ACC012,Account 12,Strategic,Revenue
ACC013,Account 13,Growth,Revenue
ACC014,Account 14,Core,Analytics
ACC015,Account 15,Core,Operations
ACC016,Account 16,Core,Operations
ACC017,Account 17,Core,Revenue
ACC018,Account 18,Growth,Operations
ACC019,Account 19,Growth,Operations
ACC020,Account 20,Strategic,Operations
ACC021,Account 21,Watch,Customer
ACC022,Account 22,Watch,Product
ACC023,Account 23,Strategic,Product
ACC024,Account 24,Growth,Customer
ACC025,Account 25,Strategic,Operations
ACC026,Account 26,Core,Revenue
ACC027,Account 27,Core,Product
ACC028,Account 28,Strategic,Operations
ACC029,Account 29,Growth,Analytics
ACC030,Account 30,Watch,Analytics
ACC031,Account 31,Core,Product
ACC032,Account 32,Growth,Revenue
